breakdown,group,rows,method,exact_match,bleu4,rouge1_f1,rouge2_f1,rougeL_f1,semantic_cosine_bge_m3,format_type_match,format_structure_score,validator_adherence,validator_rows,length_diff_tokens,absolute_length_diff_tokens,length_ratio_tokens,terminated_with_eos,length_diff_chars,trajectory_kl_macro,trajectory_kl_micro,trajectory_token_count
subtype,fixed_prefix,6,qtraj_topk_delta,0.6666666666666666,0.9441997925384666,0.9703448275862069,0.9503968253968255,0.9703448275862069,0.9865720371405283,1.0,1.0,1.0,6,0.16666666666666666,0.16666666666666666,1.0052083333333333,1.0,0.3333333333333333,0.03768507213038989,0.04118623044169906,168
subtype,fixed_prefix,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999999900658926,1.0,1.0,1.0,6,0.0,0.0,1.0,1.0,0.0,0.08073953689156253,0.08469824019614218,168
subtype,fixed_suffix,6,base_no_prompt,0.0,0.014546159152090012,0.07558501235143782,0.03852116875372689,0.07173144780423163,0.6307817747195562,0.0,0.2015306122448979,0.0,6,243.66666666666666,243.66666666666666,25.544226579520696,0.0,725.6666666666666,2.189830224101941,1.5482515056614659,80
subtype,fixed_suffix,6,full_prompt,1.0,1.0,1.0,1.0,1.0,0.999999980131785,1.0,1.0,0.16666666666666666,6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,80
subtype,fixed_suffix,6,qtraj_teacher_margin,1.0,1.0,1.0,1.0,1.0,0.999999980131785,1.0,1.0,0.16666666666666666,6,-0.16666666666666666,0.16666666666666666,0.9666666666666667,1.0,0.0,0.7511182635887693,0.6721906554579163,80
subtype,fixed_suffix,6,qtraj_topk_delta,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9162662426630656,1.0,1.0,0.0,6,41.833333333333336,41.833333333333336,9.366666666666667,0.8333333333333334,41.333333333333336,0.3385186413041204,0.19412105823469167,80
subtype,fixed_suffix,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.999999980131785,1.0,1.0,0.16666666666666666,6,0.0,0.0,1.0,1.0,0.0,0.17158769171096663,0.11837837188141691,80
subtype,item_marker,6,base_no_prompt,0.0,0.05984454742532045,0.24086282427824915,0.09397581761553496,0.17518442666316625,0.7129726906617483,0.16666666666666666,0.47851616619187726,0.0,6,0.0,0.0,1.0,0.0,188.83333333333334,0.09900159658259107,0.09900159658259107,1536
subtype,item_marker,6,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0000000198682149,1.0,1.0,0.0,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1536
subtype,item_marker,6,qtraj_teacher_margin,0.0,0.2590720052896423,0.5598673140132623,0.44045656668778826,0.5193494912456879,0.9039338131745657,1.0,0.8839101376629981,0.0,6,-93.83333333333333,93.83333333333333,0.6334635416666666,0.6666666666666666,-205.66666666666666,0.24748938838919846,0.24748938838919846,1536
subtype,item_marker,6,qtraj_topk_delta,0.0,0.30379734949436316,0.5602356116787767,0.4084330661233249,0.5127680067584973,0.9352256854375204,1.0,0.9293604738821228,0.0,6,-39.0,39.0,0.84765625,0.3333333333333333,-94.83333333333333,0.11380304580843559,0.11380304580843559,1536
subtype,item_marker,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,1.0000000198682149,1.0,1.0,0.0,6,0.0,0.0,1.0,0.0,0.0,0.037042878154699165,0.037042878154699165,1536
subtype,json_answer,6,base_no_prompt,0.0,0.024928216292052937,0.188811483280275,0.06100924955327691,0.12525344961548593,0.7724133332570394,0.0,0.21785714285714286,0.0,6,212.5,212.5,6.162659363351732,0.0,616.8333333333334,0.8208231686728125,0.7941316809888479,267
subtype,json_answer,6,full_prompt,1.0,1.0,1.0,1.0,1.0,1.00000003973643,1.0,1.0,1.0,6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,267
subtype,json_answer,6,qtraj_teacher_margin,0.16666666666666666,0.4046697168681268,0.522215690327557,0.4965672891991178,0.514933792061004,0.9235383967558543,0.6666666666666666,0.9365079365079364,0.6666666666666666,6,101.16666666666667,101.16666666666667,3.3006949599239133,0.6666666666666666,345.0,0.8553053004150765,0.8363712283603316,267
subtype,json_answer,6,qtraj_topk_delta,0.0,0.1585400483386026,0.34060152323676823,0.2609797658171214,0.302584756118764,0.8658144970734915,0.6666666666666666,0.9285714285714285,0.6666666666666666,6,131.33333333333334,131.33333333333334,4.053986956188471,0.6666666666666666,374.0,0.09474742497479734,0.10592805487961637,267
subtype,json_answer,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,1.00000003973643,1.0,1.0,1.0,6,0.0,0.0,1.0,1.0,0.0,0.11368816231136314,0.11917165813594457,267
subtype,key_value,6,base_no_prompt,0.0,0.022070826990167536,0.11636657518666865,0.04805486677996638,0.07680611185284082,0.6259377499421438,0.0,0.4641912320483748,0.0,6,192.66666666666666,192.66666666666666,20.25094726062468,0.5,595.5,2.3289246055414288,0.6722134221794704,343
subtype,key_value,6,full_prompt,1.0,1.0,1.0,1.0,1.0,0.999999980131785,1.0,1.0,0.8333333333333334,6,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.0,343
subtype,key_value,6,qtraj_teacher_margin,0.8333333333333334,0.881120489551155,0.9134680134680134,0.8860716700473293,0.9094276094276094,0.988603005806605,1.0,0.998015873015873,0.8333333333333334,6,0.0,0.0,1.0,0.8333333333333334,0.6666666666666666,0.5114642973621218,0.45812219153956335,343
subtype,key_value,6,qtraj_topk_delta,0.6666666666666666,0.737484539954138,0.8134318423855165,0.7601389897313556,0.8039636581469649,0.9605472187201182,0.8333333333333334,0.9329004329004329,1.0,6,-32.333333333333336,32.666666666666664,0.8786024305555555,1.0,-39.833333333333336,0.0339879478168036,0.10538235392881551,343
subtype,key_value,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999996920426687,1.0,1.0,0.8333333333333334,6,0.0,0.0,1.0,0.8333333333333334,0.0,0.12215074779008911,0.10201918440918854,343
subtype,markdown_table,6,base_no_prompt,0.0,0.05439333284609734,0.32263305867172015,0.11689824611679668,0.20252288128384854,0.7795856495698293,0.0,0.4857456140350877,0.0,6,64.16666666666667,64.16666666666667,1.5661479639581828,0.5,236.0,0.2899166584931083,0.2607219337372192,1136
subtype,markdown_table,6,full_prompt,1.0,1.0,1.0,1.0,1.0,0.999999980131785,1.0,1.0,0.5,6,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1136
subtype,markdown_table,6,qtraj_teacher_margin,0.0,0.5153337397535965,0.6773143637150093,0.5580339978011736,0.605445459387613,0.9451385537783304,1.0,0.9674297924297924,0.5,6,-2.8333333333333335,2.8333333333333335,0.9737841234191599,0.5,-17.0,0.2523252752163124,0.28864091488703975,1136
subtype,markdown_table,6,qtraj_topk_delta,0.16666666666666666,0.5054029032364675,0.6670863820185599,0.5391687317678493,0.5798790971039096,0.9304988781611124,1.0,0.9815628815628816,0.6666666666666666,6,-2.0,2.0,0.9854014598540145,0.5,-22.0,0.14713667673391898,0.18156178821794766,1136
subtype,markdown_table,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.999999980131785,1.0,1.0,0.5,6,0.0,0.0,1.0,0.5,0.0,0.11983875286951251,0.14479688561468526,1136
subtype,numbered_list,6,base_no_prompt,0.0,0.015272356283027325,0.1875503139791106,0.04395047374992658,0.11156390629667336,0.7089603046576182,0.5,0.49488765203050916,0.5,6,80.83333333333333,80.83333333333333,2.6581973581973584,0.0,452.1666666666667,0.2429421692754282,0.13368687612980037,1054
